"fips","less_12","college","total_persons","year"
"13035",18924,4996,53818,1990
"13037",3927,1856,10984,1990
"13039",16461,14717,101055,1990
"13043",10829,3008,26643,1990
"13045",97428,35633,267692,1990
"13047",94893,20749,261769,1990
"13049",10347,2005,27648,1990
"13051",196332,228254,1009527,1990
"13053",3299,13149,44751,1990
"13055",47586,6053,96211,1990
"13057",117239,91772,488429,1990
"13059",48895,160625,335868,1990
"13061",2153,1249,6959,1990
"13063",215743,109003,870525,1990
"13065",10669,1625,20803,1990
"13067",381020,894230,2694264,1990
"13069",38074,13012,99488,1990
"13071",48833,15688,131178,1990
"13073",55192,93862,372884,1990
"13075",19041,3583,45734,1990
"13077",62271,34338,219539,1990
"13079",8314,1779,27225,1990
"13081",19636,7786,59754,1990
"13083",29506,5275,66021,1990
"13085",16607,3552,41203,1990
"13087",23367,11517,74364,1990
"13089",263260,967350,2344196,1990
