"fips","year","new_total_mds"
"22115",2015,40
"22117",2015,55
"22119",2015,40
"22121",2015,9
"22123",2015,4
"22125",2015,12
"22127",2015,13
"23001",2015,246
"23003",2015,135
"23005",2015,1591
"23007",2015,47
"23009",2015,133
"23011",2015,320
"23013",2015,103
"23015",2015,63
"23017",2015,56
"23019",2015,520
"23021",2015,29
"23023",2015,38
"23025",2015,57
"23027",2015,60
"23029",2015,34
"23031",2015,264
"24001",2015,151
"24003",2015,1318
"24005",2015,3609
"24009",2015,149
"24011",2015,17
"24013",2015,207
"24015",2015,101
"24017",2015,152
"24019",2015,48
"24021",2015,481
"24023",2015,26
"24025",2015,374
"24027",2015,2123
"24029",2015,40
"24031",2015,6978
"24033",2015,1492
"24035",2015,35
"24037",2015,105
"24039",2015,12
"24041",2015,147
"24043",2015,275
"24045",2015,258
"24047",2015,86
"24510",2015,5765
"25001",2015,571
"25003",2015,528
"25005",2015,860
"25007",2015,43
"25009",2015,1830
"25011",2015,113
"25013",2015,1319
"25015",2015,605
"25017",2015,8842
"25019",2015,16
"25021",2015,4121
"25023",2015,876
"25025",2015,11006
"25027",2015,2984
"26001",2015,5
"26003",2015,5
"26005",2015,58
"26007",2015,65
"26009",2015,7
"26011",2015,6
"26013",2015,6
"26015",2015,38
"26017",2015,119
"26019",2015,14
"26021",2015,287
"26023",2015,32
"26025",2015,189
"26027",2015,20
"26029",2015,37
"26031",2015,12
"26033",2015,39
"26035",2015,11
"26037",2015,40
"26039",2015,13
"26041",2015,39
"26043",2015,59
"26045",2015,58
"26047",2015,138
"26049",2015,922
"26051",2015,8
"26053",2015,24
"26055",2015,353
"26057",2015,44
"26059",2015,19
"26061",2015,53
"26063",2015,28
"26065",2015,881
"26067",2015,22
"26069",2015,15
"26071",2015,10
"26073",2015,68
"26075",2015,178
"26077",2015,950
"26079",2015,6
"26081",2015,2028
"26083",2015,0
"26085",2015,2
"26087",2015,48
"26089",2015,20
"26091",2015,63
"26093",2015,198
"26095",2015,8
"26097",2015,12
"26099",2015,1096
"26101",2015,21
"26103",2015,220
"26105",2015,26
"26107",2015,38
"26109",2015,13
"26111",2015,232
"26113",2015,5
"26115",2015,141
"26117",2015,23
"26119",2015,6
"26121",2015,195
"26123",2015,26
"26125",2015,6740
"26127",2015,11
"26129",2015,16
"26131",2015,2
"26133",2015,7
"26135",2015,1
"26137",2015,31
"26139",2015,360
"26141",2015,1
"26143",2015,12
"26145",2015,536
"26147",2015,175
"26149",2015,40
"26151",2015,14
"26153",2015,7
"26155",2015,46
"26157",2015,33
"26159",2015,71
"26161",2015,4330
"26163",2015,5349
"26165",2015,48
"27001",2015,18
"27003",2015,378
"27005",2015,51
"27007",2015,87
"27009",2015,22
"27011",2015,7
"27013",2015,176
"27015",2015,48
"27017",2015,34
"27019",2015,185
"27021",2015,17
"27023",2015,10
"27025",2015,48
"27027",2015,28
"27029",2015,4
"27031",2015,11
"27033",2015,9
"27035",2015,151
"27037",2015,645
"27039",2015,19
"27041",2015,75
"27043",2015,5
"27045",2015,8
"27047",2015,43
"27049",2015,85
"27051",2015,3
"27053",2015,6070
"27055",2015,21
"27057",2015,26
"27059",2015,43
"27061",2015,69
"27063",2015,0
"27065",2015,15
"27067",2015,87
"27069",2015,0
"27071",2015,9
"27073",2015,8
"27075",2015,12
"27077",2015,1
"27079",2015,7
"27081",2015,5
"27083",2015,32
"27085",2015,38
"27087",2015,1
"27089",2015,1
"27091",2015,27
"27093",2015,13
"27095",2015,30
"27097",2015,28
"27099",2015,36
"27101",2015,4
"27103",2015,59
"27105",2015,26
"27107",2015,0
"27109",2015,3543
"27111",2015,66
"27113",2015,20
"27115",2015,10
"27117",2015,4
"27119",2015,23
"27121",2015,12
"27123",2015,1937
"27125",2015,0
"27127",2015,6
"27129",2015,5
"27131",2015,97
"27133",2015,11
"27135",2015,9
"27137",2015,708
"27139",2015,135
"27141",2015,63
"27143",2015,3
"27145",2015,424
"27147",2015,51
"27149",2015,13
"27151",2015,5
"27153",2015,23
"27155",2015,1
"27157",2015,25
"27159",2015,14
"27161",2015,6
"27163",2015,689
"27165",2015,2
"27167",2015,2
"27169",2015,47
"27171",2015,96
"27173",2015,10
"28001",2015,60
"28003",2015,61
"28005",2015,5
"28007",2015,14
"28009",2015,0
"28011",2015,32
"28013",2015,3
"28015",2015,4
"28017",2015,7
"28019",2015,2
"28021",2015,4
"28023",2015,6
"28025",2015,16
"28027",2015,37
"28029",2015,13
"28031",2015,5
"28033",2015,123
